f0_,sum_content_download,sum_blog_subscribers,sum_newsletter_signup
2025-06-30,6,3,1
2025-06-28,1,1,0
2025-06-29,3,0,1
2025-06-25,29,1,0
2025-06-26,51,4,9
2025-06-27,13,4,0
2025-07-02,7,1,11
2025-07-03,2,2,1
2025-07-04,0,5,0
2025-07-05,2,1,0
2025-07-06,0,1,0
2025-07-07,1,0,3
2025-03-28,20,2,13
2025-03-21,150,1,360
2025-03-27,43,1,41
2025-04-02,13,3,0
2025-03-24,15,0,8
2025-03-25,8,1,0
2025-03-26,8,2,13
2025-03-31,15,6,0
2025-04-03,62,2,0
2025-03-20,45,1,11
2025-03-22,3,1,3
2025-03-23,3,3,0
2025-03-29,3,2,0
2025-03-30,5,3,7
2025-04-01,31,0,2
2025-05-24,2,0,10
2025-05-19,16,2,10
2025-05-17,0,1,9
2025-05-29,53,4,2
2025-05-20,9,1,15
2025-05-16,9,1,0
2025-05-18,6,2,4
2025-05-21,16,1,2
2025-05-23,21,1,4
2025-05-25,1,1,0
2025-05-27,3,2,1
2025-05-28,20,0,6
2025-05-22,21,0,8
2025-05-15,37,0,25
2025-05-26,2,0,0
2025-07-01,5,2,2
2025-03-06,50,2,0
2025-03-07,25,1,6
2025-03-08,9,2,9
2025-03-09,3,2,17
2025-03-10,24,3,10
2025-03-11,23,2,45717
2025-03-12,33,10,12
2025-03-13,39,1,3
2025-03-14,87,1,87
2025-03-15,8,0,0
2025-03-16,4,0,0
2025-03-17,13,0,8
2025-03-18,49,4,5
2025-03-19,14,3,0
2025-06-12,34,0,21
2025-06-13,12,3,22
2025-06-14,3,3,0
2025-06-15,4,1,0
2025-06-16,11,3,0
2025-06-17,51,4,0
2025-06-18,18,1,0
2025-06-19,35,0,11
2025-06-20,15,3,0
2025-06-21,2,3,4
2025-06-22,3,1,0
2025-06-23,15,0,44
2025-06-24,10,4,1
2025-05-30,21,3,0
2025-05-31,5,0,8
2025-06-01,8,4,0
2025-06-02,9,5,0
2025-06-03,12,2,5
2025-06-04,8,0,3
2025-06-05,47,3,1
2025-06-06,10,5,0
2025-06-07,3,1,0
2025-06-08,2,0,2
2025-06-09,11,3,6
2025-06-10,7,5,52552
2025-06-11,14,1,0
2025-05-07,9,1,5
2025-05-05,15,0,9
2025-05-13,16,1,49732
2025-05-06,10,1,15
2025-05-08,52,1,1
2025-05-02,14,2,0
2025-05-03,8,4,0
2025-05-01,62,1,0
2025-05-14,13,2,0
2025-05-11,6,1,0
2025-05-10,6,1,1
2025-05-12,19,0,0
2025-05-09,12,0,0
2025-05-04,4,0,0
2025-04-17,23,0,1
2025-04-18,16,0,2
2025-04-19,2,0,0
2025-04-20,5,1,0
2025-04-21,12,1,2
2025-04-22,8,2,0
2025-04-23,138,7,1758
2025-04-24,33,2,1
2025-04-25,11,0,1
2025-04-26,4,1,0
2025-04-27,6,1,0
2025-04-28,18,1,0
2025-04-29,11,0,0
2025-04-30,16,2,2
2025-04-04,12,2,0
2025-04-05,1,2,1
2025-04-06,10,1,0
2025-04-07,39,2,0
2025-04-08,9,0,17
2025-04-09,8,0,4
2025-04-10,41,1,3
2025-04-11,5,3,6
2025-04-12,1,0,0
2025-04-13,4,2,3
2025-04-14,7,1,10
2025-04-15,9,1,41800
2025-04-16,13,4,5