lead_mql_date,mql_count
2025-04-22,215
2024-07-12,59
2024-09-20,30
2024-05-27,44
2025-02-05,61
2025-02-17,16
2024-04-01,37
2024-04-02,20
2024-04-04,26
2024-04-07,19
2024-04-10,44
2024-04-12,33
2024-04-15,92
2024-04-17,28
2024-04-21,19
2024-04-27,19
2024-04-29,30
2024-05-07,119
2024-05-10,28
2024-05-16,67
2024-05-26,14
2024-05-29,26
2024-06-05,29
2024-11-21,125
2024-06-18,45
2024-06-19,72
2024-06-25,73
2024-11-19,23
2024-07-08,33
2024-07-09,151
2024-07-11,29
2024-11-26,34
2024-07-22,58
2024-07-28,21
2024-08-05,35
2024-08-14,44
2024-08-22,61
2024-09-09,33
2024-09-02,22
2024-09-03,58
2024-09-04,58
2024-09-11,35
2024-09-24,35
2024-09-26,44
2024-09-29,28
2024-10-07,30
2024-10-08,20
2024-10-16,81
2024-10-25,49
2024-10-30,24
2025-06-26,11
2024-11-05,48
2024-11-06,125
2024-11-10,25
2024-11-14,86
2024-11-20,27
2024-11-23,21
2024-11-27,65
2024-11-29,18
2024-12-03,87
2024-12-06,32
2024-12-11,55
2024-12-15,27
2024-12-16,60
2024-12-22,17
2024-12-26,21
2024-12-29,13
2024-12-31,22
2025-01-08,74
2025-05-21,12
2025-01-11,26
2025-01-13,108
2025-01-16,84
2025-01-24,51
2025-01-23,61
2025-01-25,36
2025-01-27,132
2025-01-28,38
2025-01-29,41
2025-01-30,97
2025-02-02,36
2025-02-03,51
2025-02-06,83
2025-02-08,16
2025-02-12,26
2025-02-13,26
2025-02-23,9
2025-02-26,16
2025-02-27,17
2025-02-28,17
2025-03-02,6
2025-03-04,17
2025-03-05,18
2025-03-11,9
2025-03-12,23
2025-03-14,28
2025-03-18,98
2025-03-26,39
2025-03-31,23
2025-04-01,118
2025-04-03,127
2025-04-04,17
2025-04-08,20
2025-04-12,13
2025-04-28,22
2025-05-03,7
2025-05-25,8
2025-06-03,18
2025-06-07,15
2025-06-13,16
2024-10-03,45
2024-07-16,40
2024-06-03,26
2024-06-14,167
2024-07-01,29
2024-08-03,16
2024-05-21,41
2024-06-20,36
2024-10-10,41
2024-05-02,31
2024-07-29,95
2024-08-19,97
2024-06-17,64
2024-07-03,45
2025-04-15,19
2024-05-06,32
2024-05-08,52
2024-05-24,21
2024-05-31,20
2024-06-16,14
2024-07-17,76
2024-11-07,67
2024-12-04,48
2024-10-17,57
2024-04-03,41
2024-04-18,81
2024-04-22,69
2024-04-25,25
2024-04-28,18
2024-08-13,40
2024-08-09,23
2025-02-20,25
2024-07-10,19
2024-05-01,27
2024-05-09,66
2024-05-14,92
2024-05-22,33
2024-05-23,29
2024-06-04,29
2024-06-22,18
2024-06-24,48
2024-06-26,32
2024-07-02,24
2024-07-05,21
2024-07-14,20
2024-07-23,57
2025-06-25,39
2024-06-12,31
2024-07-07,12
2024-09-06,48
2025-06-30,1
2025-01-19,22
2025-06-27,16
2025-01-15,52
2025-02-19,21
2025-03-22,16
2025-05-23,15
2024-10-09,53
2024-08-20,82
2024-04-19,33
2024-08-21,30
2024-04-06,15
2024-04-11,40
2025-05-12,9
2024-04-16,30
2024-04-24,42
2024-05-04,27
2024-05-05,24
2024-05-13,37
2024-05-15,32
2024-05-18,18
2024-05-30,25
2024-05-28,35
2024-06-15,12
2024-06-29,16
2024-06-30,13
2025-05-19,25
2024-09-25,37
2024-07-13,12
2024-07-15,26
2024-07-18,31
2024-08-16,25
2024-07-21,8
2024-07-24,45
2024-08-12,79
2024-08-02,83
2024-08-06,38
2024-09-10,48
2024-08-15,86
2024-08-26,38
2024-08-28,29
2025-04-21,24
2024-08-29,72
2024-08-30,20
2024-08-31,17
2025-01-26,32
2024-12-19,104
2024-09-23,35
2024-09-08,14
2024-09-12,102
2024-09-13,42
2024-09-16,28
2024-09-18,45
2024-09-21,28
2024-09-27,24
2024-09-30,35
2024-10-01,30
2024-10-02,43
2024-10-04,39
2024-10-05,17
2024-10-06,22
2024-10-11,22
2025-03-13,250
2024-10-12,20
2024-10-14,30
2024-10-18,26
2024-10-19,15
2024-10-22,64
2024-10-28,18
2024-10-29,41
2024-10-31,35
2024-11-04,39
2024-11-11,95
2024-11-08,47
2024-11-09,24
2024-11-12,24
2025-02-07,48
2024-11-13,62
2024-11-15,22
2024-11-17,21
2024-11-18,41
2025-06-19,22
2024-11-22,20
2024-11-24,17
2024-11-25,40
2024-11-30,17
2024-12-02,30
2024-12-05,46
2024-12-08,22
2024-12-09,39
2024-12-10,100
2024-12-12,57
2024-12-13,33
2025-01-02,32
2024-12-20,29
2024-12-25,4
2024-12-27,14
2025-01-03,22
2025-01-06,127
2025-03-08,10
2025-01-07,37
2025-01-09,64
2025-01-12,20
2025-01-14,14
2025-04-10,24
2025-01-17,34
2025-01-20,27
2025-04-26,12
2025-04-02,122
2025-02-11,13
2025-02-14,19
2025-02-04,60
2025-06-11,19
2025-02-09,9
2025-03-06,16
2025-02-10,14
2025-02-15,7
2025-02-18,12
2025-04-07,27
2025-02-21,18
2025-02-22,7
2025-02-25,56
2025-03-29,9
2025-03-01,14
2025-03-03,16
2025-03-09,7
2025-04-14,18
2025-03-07,22
2025-03-20,49
2025-03-10,15
2025-03-23,16
2025-03-15,20
2025-03-16,12
2025-03-17,133
2025-03-28,104
2025-05-01,23
2025-03-25,25
2025-03-19,45
2025-04-18,17
2025-03-27,91
2025-05-08,25
2025-04-17,20
2025-03-21,22
2025-03-24,20
2025-06-09,89
2025-04-24,26
2025-03-30,7
2025-04-05,14
2025-04-06,7
2025-04-09,16
2025-04-11,23
2025-06-17,16
2025-04-13,10
2025-04-16,32
2025-04-23,15
2025-04-20,7
2025-04-25,14
2025-04-29,28
2025-04-30,14
2025-05-02,12
2025-05-05,30
2025-05-07,23
2025-05-06,16
2025-05-09,17
2025-05-10,8
2025-05-13,21
2025-05-14,23
2025-05-15,15
2025-05-16,7
2025-05-20,10
2025-05-22,20
2025-05-24,9
2025-05-26,5
2025-05-27,14
2025-05-28,17
2025-05-29,17
2025-05-30,15
2025-05-31,19
2025-06-01,8
2025-06-04,11
2025-06-10,28
2025-06-05,18
2025-06-06,6
2025-06-08,8
2025-06-12,20
2025-06-14,8
2025-06-15,9
2025-06-16,7
2025-06-18,8
2025-06-20,20
2025-06-21,10
2025-06-22,6
2025-06-23,21
2025-06-24,19
2025-06-28,9
2025-06-29,8
2024-04-14,17
2024-04-08,27
2024-06-08,16
2024-05-03,20
2024-05-11,14
2024-09-05,138
2024-06-27,31
2024-06-06,32
2024-06-07,17
2024-08-07,108
2024-06-10,20
2024-06-11,25
2024-06-28,24
2024-07-06,15
2024-10-23,36
2024-07-25,33
2024-07-26,48
2024-07-31,65
2024-08-08,46
2024-08-17,17
2024-08-23,38
2024-08-25,21
2024-08-27,95
2024-09-15,20
2024-09-19,34
2024-09-28,20
2024-10-13,28
2024-10-15,311
2024-10-24,44
2024-11-01,21
2024-11-02,13
2024-12-01,12
2024-12-07,22
2024-12-18,38
2024-12-30,17
2025-01-04,7
2025-01-10,34
2025-01-18,25
2025-02-16,16
2024-04-05,124
2024-04-09,70
2024-04-20,19
2024-04-23,27
2024-11-16,17
2024-09-01,13
2024-04-26,15
2024-05-19,15
2024-05-20,74
2024-07-30,59
2024-10-20,26
2024-11-28,10
2024-04-13,16
2025-01-22,64
2024-09-17,58
2024-09-07,23
2024-04-30,78
2024-05-12,10
2024-06-23,17
2024-08-01,41
2024-07-04,21
2024-07-19,49
2024-07-27,19
2024-08-10,22
2024-08-11,11
2024-08-18,25
2024-08-24,25
2024-12-21,21
2024-12-17,27
2024-12-23,10
2025-01-31,39
2025-02-24,14
2024-06-09,11
2024-06-13,29
2024-06-02,19
2024-05-25,10
2024-05-17,26
2024-06-01,8
2024-08-04,18
2024-10-21,30
2024-06-21,26
2025-02-01,27
2024-07-20,13
2024-12-14,15
2024-09-14,27
2024-09-22,19
2024-10-26,17
2024-11-03,17
2024-12-24,12
2025-01-21,16
2025-01-01,9
2024-10-27,15
2025-01-05,9
2024-12-28,5
2025-05-11,5
2025-04-19,4
2025-04-27,5
2025-05-04,6
2025-05-17,7
2025-05-18,10
2025-06-02,7