Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2021,Searches: Jun 2021,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Searches: Sep 2022,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
advertising roi,USD,320,50%,22%,Low,9,4.26,31.31,,,,,,320,260,260,260,320,320,260,260,260,390,390,390,320,320,210,260,320,320,590,320,320,320,320,320,260,210,170,260,320,320,260,260,260,320,260,320,260,210,170,260,260,260,320,320,320,260,480,390
shopify impact,USD,20,-33%,-33%,Low,7,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,30,20,10,20,10,20,20,20,20,20,30,20,30,20,20,30,10,20,30,40,40,50,40,40,40,40,30,40,30,20,20
tei study,USD,30,-33%,0%,Low,25,5.54,11.30,,,,,,30,20,20,20,30,30,20,20,30,20,50,10,30,30,50,70,50,40,30,30,30,20,30,20,30,20,20,20,20,20,20,20,30,30,30,20,10,20,30,20,30,30,20,30,40,30,40,20
multi channel attribution models,USD,90,50%,91%,Low,5,7.93,21.48,,,,,,90,70,70,110,90,70,50,70,90,90,110,90,110,70,70,110,90,110,140,110,90,90,140,140,110,70,50,70,70,50,50,50,70,40,90,110,90,90,70,70,90,90,90,90,170,140,260,210
multi touch attribution solutions,USD,30,0%,150%,Low,13,35.85,76.04,,,,Y,,30,10,20,20,10,20,30,30,40,40,30,40,70,50,40,70,40,30,10,20,50,20,20,20,10,20,10,10,20,40,50,20,10,10,10,20,30,20,10,20,20,30,30,40,50,50,50,50
walmart affiliate marketing program,USD,9900,22%,-18%,Low,24,0.86,1.06,,,,Y,,1300,1600,1300,1300,1300,1600,1600,1000,1600,1300,1600,1600,3600,4400,4400,5400,4400,6600,8100,6600,8100,6600,6600,6600,27100,74000,33100,33100,22200,18100,18100,14800,14800,12100,12100,12100,9900,12100,14800,9900,18100,14800,9900,8100,8100,8100,6600,9900
successful referral programs,USD,30,0%,0%,Medium,55,4.80,15.00,100%,,,,,40,40,30,30,30,30,40,30,30,40,50,40,30,30,30,50,30,30,30,30,30,20,40,30,20,30,30,40,20,20,20,30,30,30,20,20,30,40,20,20,20,30,20,20,10,20,30,20
customer success case study,USD,20,0%,100%,Low,25,10.84,22.69,,,,,,20,20,10,20,20,10,30,10,20,30,30,30,20,30,20,20,30,20,20,20,20,10,20,20,20,30,20,20,10,20,10,10,20,20,10,10,10,10,10,20,20,10,10,10,10,20,20,20
best app referral programs,USD,70,100%,0%,Low,13,,,5%,,,,,40,50,70,110,170,260,260,390,320,210,170,90,110,90,70,70,70,50,50,90,140,50,50,30,40,30,30,30,30,30,20,10,20,20,10,20,10,10,20,10,10,30,20,20,10,10,30,20
custom attribution model,USD,30,125%,200%,Low,9,5.07,40.00,,,,Y,,30,10,10,10,10,30,30,40,40,40,40,50,50,30,20,20,20,30,40,30,40,50,40,50,90,50,10,20,20,20,10,30,20,20,40,30,40,40,30,30,40,20,10,20,30,40,90,90
multi touch attribution example,USD,20,-50%,-33%,Low,23,7.43,18.07,,,,,,30,10,20,10,10,10,20,10,10,30,20,10,10,20,30,30,20,10,10,10,10,20,20,20,30,20,30,20,20,10,20,10,30,40,30,30,40,20,10,10,20,30,10,10,10,40,20,20
segment multi touch attribution,USD,10,0%,0%,High,71,,,,,,,,20,10,10,20,20,10,10,10,20,10,20,20,10,10,30,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
multi touch attribution model example,USD,10,-60%,0%,Medium,40,6.71,20.00,,,,,,20,10,10,10,10,10,10,10,10,10,20,10,20,10,10,30,10,10,20,10,10,20,10,20,10,10,10,10,10,20,10,20,10,10,10,20,10,10,10,10,10,20,20,20,20,50,20,20
free referral app,USD,30,50%,0%,Low,23,2.89,12.41,20%,,,,,20,10,20,30,20,20,40,30,50,20,20,30,30,30,50,20,10,20,20,20,20,20,20,20,20,20,30,30,30,40,30,40,30,30,40,30,40,50,70,50,70,20,10,30,40,20,30,30
in app referral program,USD,10,0%,0%,High,75,10.67,36.87,50%,,,,,20,10,20,20,10,10,10,10,20,10,10,20,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
referral marketing app,USD,40,133%,600%,Low,3,3.25,25.97,7%,,,,,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,880,590,10,10,10,10,10,10,10,20,10,10,30,30,20,20,30,70,70
multi attribution,USD,20,200%,50%,Low,15,8.09,32.98,,,,Y,,10,10,10,10,20,10,10,10,10,10,30,20,20,30,50,50,40,40,10,10,10,10,10,10,10,10,10,10,20,50,50,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20,30
walmart partner program,USD,50,0%,-57%,Medium,51,0.92,3.35,,,,,,40,70,50,50,40,50,50,20,20,20,20,20,20,30,40,30,30,40,70,90,50,50,50,70,70,110,90,70,70,70,70,40,40,50,50,70,50,50,90,70,70,50,40,50,50,30,30,30
affiliate network platform,USD,50,-29%,25%,Low,21,6.08,31.25,26%,,,Y,,50,50,50,50,50,50,40,50,50,20,20,20,50,40,50,40,50,70,50,70,70,70,70,50,90,50,70,70,50,40,50,70,50,50,30,40,30,20,20,30,30,70,40,40,50,70,70,50
refer a friend marketing,USD,30,320%,950%,Low,3,6.06,19.12,6%,,,,,40,30,30,40,30,50,20,40,40,50,40,50,30,50,30,50,20,50,40,30,30,20,50,40,20,20,20,20,20,10,20,20,20,40,20,20,20,10,10,20,10,10,30,20,40,50,70,210
referral marketing ideas,USD,140,0%,191%,Low,6,3.14,10.59,4%,,,,,140,170,140,140,140,110,110,110,140,110,140,140,140,110,110,170,110,140,140,110,140,140,170,210,320,140,140,170,170,110,90,90,140,110,110,110,140,90,110,110,110,110,140,110,170,320,320,320
setting up a referral program,USD,20,-60%,0%,Medium,43,11.04,41.26,45%,,,,,10,20,20,20,20,20,30,30,30,30,20,20,10,20,30,20,20,20,30,30,20,20,30,30,30,30,30,20,20,30,20,20,10,30,20,20,20,20,30,20,20,20,20,10,20,50,50,20
manage affiliate program,USD,210,23%,182%,Low,10,8.92,24.75,9%,,,Y,,210,210,210,260,210,170,170,210,210,210,170,260,210,170,260,260,170,140,210,140,140,170,140,170,260,140,140,170,170,260,260,210,170,140,140,170,110,140,210,210,170,390,320,390,390,390,480,480
referral marketing agency,USD,10,0%,-50%,Medium,65,2.92,17.25,20%,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,20,10,20,20,20,20,20,10,10,20,30,30,30,30,10,10,10
digital marketing referral program,USD,10,0%,100%,Low,9,,,20%,,,,,10,10,10,10,10,10,10,20,20,20,20,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,20,10,30,10,10,10,10,10,10,30,10,10,10,30,40,30,30,40,20,10,20
first click attribution,USD,110,433%,586%,Low,1,6.58,17.17,,,,,,70,70,50,50,50,50,70,70,50,90,90,70,90,70,50,110,70,70,90,70,70,90,110,70,70,70,50,50,70,70,70,50,70,70,90,70,40,30,40,70,260,210,260,390,260,90,480,480
google multi touch attribution,USD,10,0%,0%,Medium,38,12.00,31.81,,,,,,10,10,20,10,10,10,20,10,10,10,20,20,10,20,10,10,20,10,10,10,30,10,10,10,20,10,10,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10
customer success story examples,USD,70,-25%,-40%,Low,1,,,,,,,,70,90,110,90,90,70,50,70,90,90,110,110,90,110,70,70,50,70,40,50,70,90,90,90,50,50,50,70,50,50,50,20,40,40,40,50,30,30,50,40,30,40,40,30,40,40,30,30
referral code program,USD,10,0%,0%,High,86,8.46,13.62,40%,,,,,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
media attribution model,USD,30,25%,25%,Low,10,9.92,24.68,,,,Y,,50,40,30,40,30,40,30,40,50,40,50,30,50,30,10,40,10,30,40,30,20,20,20,40,40,20,20,30,30,20,30,30,30,30,30,40,20,20,20,30,30,20,20,50,30,40,40,50
mobile app referral program,USD,20,25%,150%,Low,7,3.07,15.00,8%,,,,,10,10,10,10,20,30,10,20,20,20,30,140,20,20,20,20,20,40,30,20,40,20,20,20,30,20,10,10,20,10,10,20,10,10,10,20,30,20,10,10,10,10,20,20,30,40,50,50
referral marketing websites,USD,260,0%,-56%,Low,32,3.05,10.37,36%,,,,,210,210,260,210,210,260,170,210,260,210,210,260,210,210,210,210,260,210,210,140,320,320,320,320,320,260,260,260,260,260,320,320,390,390,390,590,390,320,210,260,480,590,210,210,260,260,260,260
ad fraud solutions,USD,40,-22%,133%,Low,1,,,,,,,,10,10,10,10,10,10,10,10,10,10,20,30,20,30,30,70,50,70,50,70,50,50,40,30,30,30,10,10,10,10,20,30,30,30,40,30,30,40,50,70,70,90,90,90,140,90,70,70
affirm partner,USD,390,50%,-34%,Low,5,7.51,22.19,,,,,,390,390,320,720,720,880,720,480,720,590,390,320,480,480,390,390,320,320,260,260,260,320,210,210,320,260,320,480,390,480,480,390,590,590,480,590,320,320,210,260,320,320,320,260,320,260,320,390
multi touch attribution analysis,USD,20,-40%,200%,Low,14,10.02,25.77,,,,,,10,10,20,20,10,20,10,30,30,30,40,30,40,50,40,50,30,20,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50,40,30
affiliate fraud prevention,USD,10,0%,400%,Low,1,,,,,,,,10,10,10,10,10,10,10,10,0,10,20,20,10,10,10,20,10,10,40,30,20,10,30,10,10,10,10,10,10,20,30,10,10,10,10,10,10,10,10,10,20,10,10,10,40,50,70,50
referral strategy examples,USD,20,-50%,100%,Low,0,,,,,,,,30,20,10,10,20,20,20,20,10,20,20,20,20,10,10,20,10,30,20,10,10,10,20,10,10,30,20,20,10,10,20,10,20,20,10,10,10,10,10,10,10,10,10,10,10,40,40,20
free referrals,USD,50,40%,0%,Low,10,3.13,8.93,21%,,,,,40,40,30,40,70,40,30,50,70,50,30,40,50,30,50,40,50,40,40,40,50,70,70,90,50,50,30,50,70,40,50,50,70,70,70,70,70,110,90,90,70,50,50,90,90,50,90,70
partner lifecycle management,USD,20,300%,100%,Low,7,4.95,9.20,,,,,,10,20,10,20,10,30,20,10,30,20,30,40,20,30,20,50,30,10,10,10,20,10,20,10,20,10,20,10,20,10,20,10,30,40,20,20,30,20,10,20,20,30,20,30,30,10,30,40
good referral program,USD,590,23%,-18%,Medium,34,2.43,15.00,35%,,,,,590,590,590,590,590,480,590,590,480,590,590,720,720,720,720,720,590,590,590,480,720,590,590,720,590,590,590,590,720,590,720,720,720,720,590,720,720,590,480,480,390,390,390,480,590,480,590,590
pie chart data visualization,USD,70,25%,-29%,Low,12,4.67,8.36,,,,,,70,50,50,50,70,70,70,40,70,90,90,70,50,50,50,70,110,70,70,40,90,90,70,70,50,50,70,70,90,70,50,40,70,90,50,70,70,40,40,50,70,50,50,30,50,40,50,50
affiliate marketing with walmart,USD,20,-50%,-67%,Low,25,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50,10,10,10,20,20,20,20,10,30,50,30,30,30,30,30,30,20,20,10,30,20,10,20,40,20,20,10,10,20,20,10,10
referral marketing system,USD,30,-18%,80%,Low,2,,,4%,,,Y,,30,20,10,30,20,20,10,30,30,40,40,70,40,30,30,30,10,50,20,20,10,20,20,20,40,20,10,20,20,10,30,30,10,20,30,50,30,20,10,30,10,20,20,30,50,110,110,90
channel attribution,USD,140,-21%,-35%,Low,12,12.93,23.47,,,,Y,,50,70,70,110,90,90,50,40,90,140,140,140,170,140,140,110,90,90,110,170,210,140,170,210,210,170,140,110,210,210,140,140,170,170,140,170,140,70,90,70,70,90,70,70,70,140,170,110
best referral campaigns,USD,20,-22%,600%,Low,3,,,7%,,,,,20,10,20,10,10,10,20,30,40,30,30,50,20,20,20,50,20,20,30,20,20,20,10,20,30,30,20,20,20,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,50,90,90,70
great referral programs,USD,590,23%,-18%,Medium,34,2.43,15.00,35%,,,,,590,590,590,590,590,480,590,590,480,590,590,720,720,720,720,720,590,590,590,480,720,590,590,720,590,590,590,590,720,590,720,720,720,720,590,720,720,590,480,480,390,390,390,480,590,480,590,590
referral based marketing,USD,30,40%,600%,Low,5,6.29,23.77,13%,,,,,30,20,50,20,10,20,20,30,40,40,40,40,40,20,40,40,20,20,30,20,40,30,30,30,30,20,20,20,10,40,20,10,30,20,20,10,20,20,20,30,30,20,20,30,40,50,70,70
impact affiliate api,USD,10,0%,0%,Low,20,16.77,26.28,100%,,,Y,,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10
product referral program,USD,10,0%,0%,Low,24,,,10%,,,,,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
attribution marketing example,USD,20,100%,100%,Low,14,1.49,9.54,,,,,,40,30,40,40,30,20,30,30,20,40,20,20,30,20,40,50,40,30,30,30,30,30,30,20,20,20,20,20,20,20,30,20,30,10,20,10,10,10,10,10,20,20,20,10,10,10,20,20
customer attribution,USD,50,-20%,-20%,Low,7,21.21,200.00,,,,,,40,40,50,70,70,70,30,30,50,50,70,50,50,70,50,50,90,70,70,50,70,70,50,70,70,70,40,50,70,50,50,30,50,90,70,50,40,40,40,40,70,70,70,50,50,50,70,40
ideas for referral programs,USD,590,0%,0%,Low,13,3.30,14.75,25%,,,,,720,720,590,590,720,720,720,590,720,590,720,720,720,590,590,720,720,590,590,480,720,590,720,590,590,590,590,480,1600,1300,720,320,480,390,390,390,390,320,320,320,260,320,260,210,720,390,480,390
types of attribution models,USD,50,29%,80%,Low,8,4.09,14.77,,,,,,40,30,40,50,50,50,40,40,40,70,70,70,70,70,70,50,90,70,70,70,70,70,70,90,50,30,30,50,30,40,50,50,50,50,40,50,50,40,30,50,70,50,50,40,40,70,70,90
best referral rewards,USD,20,-33%,100%,Low,12,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,20,20,30,30,10,10,20,20,20,10,10,20,30,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,30,40,20
offer affiliate program,USD,20,-33%,100%,Low,12,4.21,10.33,15%,,,Y,,30,40,50,40,50,30,40,40,40,20,20,20,10,10,10,20,10,20,20,10,20,20,20,10,10,20,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,20,20
last touch attribution model,USD,70,0%,75%,Low,13,4.23,12.58,,,,Y,,50,50,50,70,50,50,70,50,70,140,110,70,90,110,70,90,50,70,50,70,70,50,70,40,40,30,40,50,30,40,50,110,40,40,50,40,50,30,40,40,40,70,70,70,50,70,110,70
best customer referral programs,USD,20,40%,250%,Low,5,12.97,36.45,10%,,,,,10,20,10,20,10,10,10,20,10,10,20,20,20,10,20,10,10,10,10,10,10,20,10,30,30,20,10,20,20,30,20,20,20,30,20,20,20,20,20,20,20,20,30,30,30,50,70,70
new referral program,USD,40,33%,33%,Low,8,1.63,6.00,3%,,,,,50,50,50,70,90,30,70,50,70,50,30,70,70,90,30,50,30,30,40,20,50,40,40,20,50,30,10,30,30,30,20,30,40,30,30,30,40,50,40,40,30,30,30,50,40,30,70,40
referral advertising,USD,90,-18%,56%,Low,9,9.53,34.48,14%,,,,,90,110,90,90,90,110,70,70,90,110,140,110,90,90,90,90,90,70,90,70,110,140,70,70,70,50,50,90,110,90,50,50,90,90,70,90,70,50,70,50,70,110,90,70,110,170,210,140
attribution metrics,USD,20,200%,50%,Low,26,4.65,17.44,,,,,,20,20,10,10,10,20,10,10,10,20,20,10,20,20,20,20,20,20,20,20,20,20,20,10,20,10,20,20,10,30,20,10,20,20,20,20,20,20,10,20,20,20,20,20,10,10,30,30
us affiliate networks,USD,20,-50%,0%,Low,16,,,30%,,,Y,,30,30,50,40,40,30,40,30,30,20,10,20,10,10,20,30,40,20,30,10,20,20,20,20,30,20,10,20,20,30,10,10,20,20,10,10,10,10,20,10,20,10,10,10,10,20,20,10
impact radius marketplace razer affiliate program,USD,10,0%,0%,Unknown,,,,,,,,,10,10,10,20,20,10,10,10,10,10,10,10,20,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,40,20,10,10,0,0,10,0,10,0
forrester roi,USD,10,0%,0%,Medium,57,6.59,17.10,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
multi touch marketing,USD,50,75%,40%,Low,23,5.88,20.00,,,,,,30,40,50,50,50,50,40,40,50,40,70,50,40,50,50,70,50,40,30,40,50,50,50,50,50,50,50,40,40,50,40,30,50,40,40,50,40,40,50,40,30,40,70,50,50,40,70,70
top 10 referral programs,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10
partnership cloud,USD,30,400%,150%,Low,7,5.90,20.82,4%,,,Y,,40,30,20,30,20,20,30,30,30,20,40,40,40,50,30,40,30,30,10,20,20,30,20,30,30,50,20,30,30,20,30,20,20,30,30,20,10,20,40,30,20,40,20,20,40,10,40,50
sales attribution models,USD,20,0%,50%,Low,16,8.87,18.45,,,,,,20,20,20,20,20,20,20,10,20,30,20,20,20,20,20,30,30,10,10,10,20,20,20,20,20,10,10,10,30,20,10,10,20,10,10,20,10,20,20,10,10,10,10,20,20,30,40,30
attribution model types,USD,10,-33%,100%,Low,32,3.09,15.00,,,,,,10,10,10,10,10,10,10,10,10,20,10,20,10,20,10,20,20,10,20,30,30,20,10,20,20,20,20,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,30,20
creative referral programs,USD,10,-29%,400%,Low,6,5.31,15.57,12%,,,,,10,20,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,70,70,50
customer journey attribution model,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
linear attribution,USD,140,-18%,27%,Low,5,4.06,25.60,,,,,,110,70,70,90,90,110,90,110,110,170,140,140,140,110,140,140,140,170,140,140,140,140,140,140,140,110,110,140,170,140,110,110,110,170,110,110,110,110,110,110,260,140,110,90,210,170,170,140
network affiliate,USD,210,24%,24%,Low,3,4.27,22.08,< 1%,,,Y,,210,140,170,170,210,320,210,260,260,170,210,210,170,170,140,170,210,320,210,210,170,210,260,170,210,110,110,210,170,140,170,170,170,260,210,210,170,210,170,170,170,170,140,170,210,210,260,260
effective referral programs,USD,10,0%,0%,Low,29,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10
referral marketing campaign,USD,30,0%,267%,Low,4,10.00,25.23,5%,,,,,10,10,10,10,10,10,10,20,20,20,20,20,30,50,50,40,20,20,40,30,10,10,20,20,20,20,30,20,10,30,30,30,30,40,40,30,10,20,10,20,20,10,20,20,40,110,140,110
partner engagement platform,USD,10,0%,0%,Medium,39,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10
marketing attribution analytics,USD,10,200%,200%,Low,10,8.30,35.34,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,30
referral link app,USD,10,0%,0%,High,71,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10
affiliate offer,USD,30,50%,0%,Low,32,2.38,7.22,20%,,,Y,,50,50,50,50,70,50,70,40,50,30,30,40,50,140,10,40,30,20,20,40,30,20,20,20,20,20,30,30,30,20,20,30,30,20,30,30,20,40,30,30,20,20,20,20,30,20,20,30
affiliate publisher network,USD,20,50%,200%,Low,2,,,3%,,,Y,,20,20,30,20,20,10,10,10,20,20,20,20,30,30,20,20,10,20,20,20,10,10,20,10,20,10,10,10,10,20,10,10,20,10,10,10,20,10,10,10,10,20,10,20,20,20,30,30
affiliate marketing fraud,USD,30,80%,200%,Low,3,6.02,18.91,,,,Y,,40,40,50,30,30,40,20,20,30,20,20,30,40,30,20,50,20,20,30,20,20,30,20,20,20,30,30,20,20,20,20,20,30,20,30,30,30,20,20,10,20,50,70,40,70,50,90,90
market attribution,USD,1600,23%,23%,Low,28,9.02,34.88,< 1%,,,,,1600,1600,1300,1600,1600,1600,1600,1600,1900,2400,2400,1900,1900,1900,1600,2400,1900,1900,1900,1600,1900,1600,1600,1600,1600,880,880,1000,1000,1300,1000,1000,1300,1300,1600,1300,1300,1000,1300,1300,1300,1600,1600,1300,1600,1300,1600,1600
first touch last touch attribution,USD,20,-25%,200%,Medium,42,3.84,15.00,,,,,,20,20,20,20,30,30,20,10,20,30,20,20,30,30,20,30,30,40,20,10,20,10,20,20,20,10,30,30,20,10,20,10,30,20,20,10,10,20,20,20,30,40,30,20,30,40,30,30
best friend referral programs,USD,10,-67%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,20,10,10,10,20,10,20,30,10,10,20,20,20,20,20,20,20,30,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,40,10
attribution model example,USD,30,0%,-40%,Low,14,4.00,15.00,,,,,,10,10,10,10,10,30,30,30,30,40,20,40,20,30,20,50,40,30,40,20,30,50,30,30,10,20,10,30,30,50,20,30,30,30,20,50,30,30,30,20,30,20,20,30,40,30,40,30
referral program strategy,USD,10,-75%,0%,Low,6,,,20%,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,40,10
create your own affiliate network,USD,10,-50%,0%,Low,8,,,,,,Y,,10,10,10,10,10,10,10,10,20,10,20,20,10,10,10,10,10,30,20,10,10,30,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,20,20,10
walmart affiliate requirements,USD,20,0%,0%,Low,14,,,,,,,,10,10,10,10,0,10,10,10,20,40,40,40,30,10,10,10,10,20,10,10,40,20,30,40,50,110,30,30,40,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
online referral marketing,USD,10,0%,200%,Low,4,,,,,,,,10,10,30,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,20,30,30,30,30
refer a friend marketing strategy,USD,20,2500%,âˆž,Low,0,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,590,260
the best affiliate network,USD,10,200%,200%,Low,3,,,,,,,,10,20,20,30,20,20,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,30,30
increase roas,USD,70,191%,256%,Low,20,8.26,20.72,,,,,,90,90,20,10,20,20,20,30,40,40,50,30,50,30,40,20,30,20,20,30,40,40,50,50,30,20,20,30,40,50,70,40,110,90,90,90,70,70,90,140,90,70,90,110,140,110,140,320
