Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2021,Searches: Jun 2021,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Searches: Sep 2022,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
campaign attribution models,USD,20,-25%,0%,Low,33,9.09,25.66,,,,,,10,10,10,10,10,20,10,10,10,20,10,20,20,10,10,10,10,10,20,30,20,20,20,30,20,10,20,20,20,20,10,20,20,40,30,30,20,10,10,10,10,10,10,30,40,40,40,30
pie chart software,USD,50,-33%,0%,Low,22,2.46,18.37,,,,,,30,30,20,20,20,20,20,20,20,30,40,30,20,20,20,10,20,10,10,10,30,20,30,30,20,20,30,20,20,20,40,20,20,40,30,20,40,10,10,20,20,30,880,720,30,30,40,20
multi touch attribution google analytics,USD,50,0%,0%,Low,13,10.29,19.10,,,,Y,,50,50,50,70,70,50,30,70,70,70,70,50,50,50,50,70,50,50,70,70,70,50,50,50,50,40,30,40,30,40,40,30,30,30,30,40,40,30,20,30,30,30,40,30,50,40,50,40
customer referral bonus,USD,10,-33%,100%,Low,4,,,5%,,,,,10,10,20,10,10,10,10,10,10,10,20,10,20,10,10,20,10,20,10,10,20,10,10,20,10,20,20,10,20,10,20,10,10,20,10,10,10,10,10,10,10,10,10,10,20,30,20,20
customer referral program examples,USD,30,0%,0%,Low,19,3.69,12.10,30%,,,,,20,10,20,30,20,20,20,20,20,20,30,30,30,20,20,40,10,20,20,20,30,40,50,40,50,30,20,70,50,40,40,40,50,70,30,40,40,30,30,20,30,30,20,40,70,40,40,40
referral program design,USD,20,-20%,33%,Low,14,6.32,15.01,25%,,,,,10,10,10,20,10,10,10,10,10,20,10,20,10,30,20,10,30,20,20,10,10,30,20,20,20,20,20,20,10,30,10,20,20,20,30,30,30,20,30,30,20,30,10,10,20,50,50,40
reward referrals,USD,390,22%,22%,Low,11,4.36,15.00,< 1%,,,,,320,390,320,260,390,390,390,480,480,480,480,480,720,480,390,480,320,320,390,320,320,320,320,390,320,260,260,320,320,320,320,320,390,320,320,320,320,260,320,390,320,320,320,320,390,320,390,390
deeplink software,USD,20,0%,0%,Low,32,,,,,,,,20,30,40,40,30,50,50,20,40,20,30,70,20,30,20,20,10,30,20,10,20,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
referral marketing statistics,USD,70,29%,29%,Low,6,6.47,15.36,9%,,,,,50,50,40,50,50,50,50,50,50,50,50,40,50,40,40,70,70,110,110,40,50,50,70,90,70,50,20,50,70,90,110,30,50,40,40,70,70,70,40,40,50,90,110,40,50,70,90,90
deferred deeplinking,USD,260,22%,50%,Low,9,2.00,5.79,,,,,,260,260,210,260,210,260,170,210,210,260,320,320,260,260,260,320,260,260,260,260,260,260,260,320,320,320,260,320,260,320,260,260,320,260,320,260,320,320,320,260,260,260,210,260,320,320,320,390
algorithmic attribution model,USD,20,0%,-50%,Low,13,3.09,7.00,,,,Y,,20,20,20,50,30,20,10,10,10,10,30,30,30,20,10,20,30,20,30,30,40,20,30,40,30,20,30,20,20,20,20,20,20,20,30,40,20,20,30,20,30,20,20,20,10,20,30,20
referral strategy ideas,USD,10,-67%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,30,40,10
customer success case studies,USD,20,0%,100%,Low,3,,,,,,,,10,10,10,10,10,10,10,20,20,30,20,30,20,40,20,20,10,20,20,40,40,40,40,40,20,10,10,10,10,30,10,10,10,10,10,10,10,10,20,10,10,10,10,10,30,20,20,20
performance affiliate marketing,USD,20,50%,200%,Low,8,2.83,18.74,3%,,,Y,,10,10,10,10,10,10,20,10,20,30,20,30,20,20,10,20,10,10,10,10,10,10,10,10,10,20,10,20,10,20,10,10,10,20,10,10,10,20,30,10,10,10,30,10,20,20,50,30
marketing affiliate marketing,USD,135000,22%,-33%,Medium,50,1.37,6.48,3%,,,Y,,135000,135000,135000,110000,90500,110000,110000,110000,165000,110000,110000,110000,135000,135000,165000,165000,135000,135000,135000,201000,246000,135000,165000,246000,201000,201000,246000,201000,201000,165000,135000,135000,201000,135000,110000,110000,90500,90500,90500,90500,74000,74000,60500,60500,90500,60500,74000,74000
channel partner engagement,USD,10,75%,600%,Low,1,,,,,,,,10,10,20,10,10,10,10,10,10,20,20,10,10,10,10,20,20,10,10,10,20,20,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,40,50,70
saas affiliate network,USD,10,100%,100%,Low,7,,,10%,,,Y,,10,10,10,10,10,10,10,10,10,10,30,20,10,10,10,30,20,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,20
referral campaign examples,USD,10,0%,0%,Low,7,,,,,,,,10,20,10,10,10,10,10,10,20,10,20,30,10,20,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
referral program for mobile app,USD,20,25%,150%,Low,7,3.07,15.00,8%,,,,,10,10,10,10,20,30,10,20,20,20,30,140,20,20,20,20,20,40,30,20,40,20,20,20,30,20,10,10,20,10,10,20,10,10,10,20,30,20,10,10,10,10,20,20,30,40,50,50
channel attribution modelling,USD,10,-50%,100%,Low,8,,,,,,,,20,10,10,30,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,20,40,20,20
types of referral programs,USD,20,-29%,400%,Low,3,,,4%,,,,,20,10,10,10,10,10,10,10,10,10,20,20,20,10,20,20,30,20,20,10,20,10,20,20,20,20,30,10,10,20,20,10,20,10,10,10,20,10,10,10,10,10,10,20,30,70,90,50
amazon affiliate commissions,USD,1600,0%,-54%,Low,5,1.18,4.65,,,,,,880,880,880,880,880,880,880,880,1000,880,1000,880,1000,1000,1600,1300,1300,1000,1300,1600,2900,1600,2400,2400,2400,2400,2400,1900,1900,1900,1600,1600,2400,1600,2400,1900,2900,3600,2400,1300,1300,1300,1000,1000,1300,880,1000,880
best referral marketing strategies,USD,20,0%,300%,Low,0,,,,,,,,30,40,30,30,30,20,20,20,10,30,20,20,10,10,10,10,10,10,10,10,20,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,20,40,40,70,40
marketing attribution definition,USD,170,0%,-18%,Low,4,2.67,27.08,,,,,,140,140,110,170,170,170,110,140,170,210,210,210,210,140,170,320,260,210,210,260,210,210,210,170,210,110,110,170,110,140,140,110,170,170,140,170,210,140,210,140,170,260,320,170,210,140,170,140
attribution methods,USD,70,-18%,29%,Low,7,11.46,40.00,,,,,,50,50,40,70,70,50,40,40,40,90,50,90,70,40,50,70,50,70,70,50,50,70,50,70,50,50,40,50,50,40,40,50,40,40,70,70,50,50,70,50,140,90,70,30,90,110,70,90
referral product,USD,20,-25%,200%,Low,23,5.03,29.18,40%,,,,,20,10,20,10,20,10,20,10,20,10,20,10,10,20,20,10,10,20,10,10,20,10,10,20,20,10,10,20,10,10,10,10,10,20,10,10,20,10,10,10,10,10,10,10,10,40,50,30
case study customer success,USD,10,0%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,10,10,10,0,10,10,10,0,0,0,10,0,10,0
best referral,USD,40,0%,200%,Low,17,2.73,8.18,7%,,,,,20,20,20,20,20,40,40,50,30,40,50,40,50,30,30,50,70,30,30,20,40,40,20,30,40,50,40,30,40,30,50,70,70,40,50,30,30,40,50,30,50,30,30,40,50,90,90,90
attribution meaning marketing,USD,20,100%,100%,Low,6,,,,,,,,10,10,10,10,20,30,20,10,20,30,20,20,20,20,20,40,30,20,30,10,20,20,30,30,20,20,10,20,30,30,30,20,20,20,10,10,10,10,20,10,20,10,10,10,10,10,10,20
attribution modeling definition,USD,50,40%,40%,Low,3,,,,,,Y,,50,70,50,50,50,50,40,50,50,70,90,70,70,50,50,70,70,90,70,90,70,50,90,90,90,50,50,50,50,40,30,40,50,50,70,50,30,40,30,40,30,40,40,40,40,50,70,70
affiliate marketing metrics,USD,50,56%,600%,Low,0,,,,,,,,20,50,40,50,20,20,20,20,30,20,40,50,30,30,30,40,70,50,50,50,50,50,70,70,50,50,50,50,50,70,110,20,20,20,30,20,20,20,30,30,40,40,40,50,110,90,140,140
customer referral examples,USD,30,0%,0%,Low,19,3.69,12.10,30%,,,,,20,10,20,30,20,20,20,20,20,20,30,30,30,20,20,40,10,20,20,20,30,40,50,40,50,30,20,70,50,40,40,40,50,70,30,40,40,30,30,20,30,30,20,40,70,40,40,40
an affiliate program,USD,10,100%,100%,Low,8,,,,,,Y,,20,20,20,20,20,20,10,20,20,20,10,10,40,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10,10,10,10,20,10,10,10,20,20,40,30,10,20,20
pie chart make,USD,27100,83%,22%,Low,1,0.84,2.79,,,,,,22200,14800,12100,18100,27100,27100,27100,27100,22200,27100,27100,33100,27100,18100,14800,18100,27100,27100,27100,27100,27100,27100,27100,33100,27100,18100,14800,22200,27100,33100,33100,33100,27100,27100,27100,40500,27100,18100,14800,18100,27100,27100,33100,27100,27100,27100,33100,49500
market attribution model,USD,10,0%,0%,Medium,43,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,10,10
client success story examples,USD,20,0%,0%,Low,11,,,,,,,,10,20,20,10,20,30,10,20,10,20,30,20,10,10,30,30,20,30,20,20,10,20,30,30,20,20,10,20,10,10,20,10,30,20,10,10,20,30,20,10,10,20,10,10,20,10,10,10
refer a friend examples,USD,40,-57%,-25%,Low,4,,,7%,,,,,10,20,30,30,30,40,50,20,40,40,70,50,40,40,30,70,40,50,30,30,50,50,50,50,40,40,50,70,70,30,30,20,40,40,40,40,30,30,40,20,20,40,20,20,20,70,50,30
first touch attribution model,USD,40,40%,133%,Low,16,4.00,12.66,,,,,,70,40,40,50,40,40,50,50,40,50,30,40,30,20,30,40,20,40,30,40,40,20,40,50,20,30,20,20,30,30,30,50,20,40,20,30,40,30,30,20,20,40,90,50,30,50,70,70
walmart affiliate links,USD,90,29%,-18%,Low,22,0.86,1.07,,,,,,50,90,70,110,90,90,140,70,110,70,70,70,70,50,50,90,50,50,70,40,70,70,70,70,140,320,140,110,90,70,110,90,70,70,70,110,70,70,70,70,50,90,90,90,70,70,70,90
referral deals,USD,20,0%,0%,Low,5,,,,,,,,10,10,30,20,20,20,30,20,30,10,10,10,10,10,10,20,20,10,30,10,20,20,20,10,10,10,20,20,20,20,30,30,20,20,20,30,10,20,10,10,10,20,10,10,30,30,20,30
partnership metrics,USD,20,0%,0%,Low,4,,,,,,,,30,30,20,30,20,30,20,30,10,20,30,30,20,20,20,20,20,20,20,30,20,10,30,10,20,20,20,30,30,20,20,20,20,30,30,10,10,10,20,10,10,20,20,10,10,10,20,10
affiliate marketing affiliate,USD,135000,22%,-33%,Medium,50,1.37,6.48,3%,,,Y,,135000,135000,135000,110000,90500,110000,110000,110000,165000,110000,110000,110000,135000,135000,165000,165000,135000,135000,135000,201000,246000,135000,165000,246000,201000,201000,246000,201000,201000,165000,135000,135000,201000,135000,110000,110000,90500,90500,90500,90500,74000,74000,60500,60500,90500,60500,74000,74000
multi touch attribution definition,USD,20,-25%,200%,Low,11,4.02,12.89,,,,,,20,30,20,20,20,40,30,20,40,30,30,30,30,30,20,50,40,30,30,20,30,20,30,20,30,10,20,10,10,10,10,10,10,20,30,10,20,10,10,10,20,10,10,20,10,40,20,30
b2b affiliate marketing examples,USD,10,0%,-50%,Low,9,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,20,40,40,40,10,10,10
tag management platform,USD,20,0%,150%,Low,13,10.28,45.00,,,,,,10,20,20,20,10,10,20,10,20,20,20,20,20,20,10,30,20,20,20,10,10,10,20,20,30,30,10,20,20,10,20,10,10,10,10,20,20,20,10,10,20,10,20,10,30,50,30,50
benefits of referral programs,USD,110,21%,55%,Low,3,3.79,11.97,9%,,,,,70,90,90,70,90,90,90,90,110,90,110,140,90,110,90,110,90,110,90,70,110,110,110,110,110,110,90,110,90,140,90,90,110,90,90,110,90,90,90,70,70,110,260,260,590,140,210,170
referral examples,USD,260,0%,24%,Low,1,,,< 1%,,,,,170,210,210,210,320,320,320,210,260,260,260,320,260,260,260,320,320,320,320,260,320,260,320,260,320,210,210,260,260,260,260,260,320,260,320,210,210,210,260,260,260,260,210,210,210,260,260,260
w attribution model,USD,10,0%,0%,Low,33,13.00,33.60,,,,,,10,10,10,10,10,20,10,10,20,30,20,20,20,10,10,20,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,20,10,10,10,20,10
influencer sponsor,USD,170,21%,0%,Low,27,3.70,15.35,< 1%,,,,,140,140,140,140,140,170,170,170,260,170,170,210,170,170,170,140,170,170,210,140,170,210,170,210,170,140,170,140,140,110,140,140,170,140,140,170,140,110,140,90,110,140,140,110,110,140,170,170
mta in marketing,USD,30,0%,0%,Low,32,7.78,18.00,,,,,,20,20,30,10,20,20,20,20,30,20,20,20,20,20,20,40,20,20,10,10,30,30,20,20,30,30,30,20,30,30,30,10,30,20,40,40,40,30,20,20,30,50,50,50,50,40,40,40
benefits of a referral program,USD,110,21%,55%,Low,3,3.79,11.97,9%,,,,,70,90,90,70,90,90,90,90,110,90,110,140,90,110,90,110,90,110,90,70,110,110,110,110,110,110,90,110,90,140,90,90,110,90,90,110,90,90,90,70,70,110,260,260,590,140,210,170
unique referral link,USD,10,0%,0%,Medium,44,3.02,9.12,100%,,,,,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,50,30,10,10,10,10,10
multi channel marketing attribution,USD,10,-43%,300%,Low,2,,,,,,,,10,10,10,10,10,30,10,10,10,20,10,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,70,30,40
referral program sample,USD,480,-18%,-18%,Medium,54,4.11,14.30,49%,,,,,590,590,590,590,480,590,390,390,480,480,590,480,480,480,480,590,390,480,480,480,590,480,590,480,480,390,320,390,390,390,390,320,480,480,390,390,390,320,320,320,260,390,390,260,390,390,390,320
customer referral marketing,USD,10,100%,100%,Low,4,,,10%,,,,,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20
b2c affiliate marketing,USD,20,0%,600%,Low,3,,,3%,,,Y,,10,10,10,10,10,10,10,10,20,10,10,20,10,10,10,10,20,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,70,70,70
referral program ads,USD,30,-43%,0%,Low,7,,,8%,,,,,20,20,20,10,20,40,30,30,30,20,40,30,20,10,10,10,20,30,30,30,40,30,40,20,10,20,40,20,20,30,10,20,40,30,20,40,30,30,40,30,20,20,20,30,40,70,90,40
increase referrals,USD,10,0%,0%,Low,17,,,10%,,,,,20,10,10,10,10,10,10,10,20,10,20,10,20,10,10,10,10,10,10,10,20,40,10,10,10,10,10,20,10,10,10,10,10,10,10,20,30,10,10,10,10,10,10,10,20,20,20,20
affiliate market network,USD,10,0%,0%,Medium,50,,,30%,,,Y,,10,0,0,10,0,10,10,0,0,10,10,10,10,10,10,20,20,20,10,20,30,10,20,40,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,0,10,10,10,10,10,10
referral marketing plan,USD,20,-50%,0%,Low,8,,,10%,,,Y,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,480,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,20,20,20,10
return on ad spend benchmarks,USD,20,0%,0%,Medium,39,4.79,25.95,,,,,,20,20,20,30,10,20,30,20,40,30,30,30,30,20,20,10,10,20,20,10,20,30,20,20,20,20,20,10,10,10,20,20,20,20,20,20,20,10,10,10,10,10,10,20,20,20,10,20
customer attribution model,USD,10,0%,0%,High,71,,,,,,,,10,10,20,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
single touch attribution,USD,20,0%,-50%,Low,30,4.95,17.09,,,,,,10,20,10,20,20,10,10,10,10,10,30,20,10,20,10,30,20,10,10,10,10,20,30,10,20,20,20,30,10,20,10,10,10,10,20,20,10,10,10,10,10,20,20,30,30,10,20,10
refer a friend ad,USD,50,-36%,75%,Low,2,,,6%,,,,,70,30,50,30,40,50,30,40,40,30,70,30,40,70,30,70,50,40,50,40,70,40,50,50,50,70,40,40,40,40,40,20,40,30,50,40,20,30,20,40,30,40,30,30,40,110,110,70
impact walmart affiliate,USD,20,0%,-50%,Low,0,,,,,,,,10,70,50,10,10,20,20,20,10,20,30,30,10,20,30,20,20,40,30,20,20,20,20,20,10,10,10,10,20,30,30,10,30,30,30,20,20,10,20,20,10,10,10,10,10,10,10,10
different attribution models,USD,30,25%,150%,Low,24,3.82,13.43,,,,,,30,20,20,10,30,40,30,20,30,40,40,50,50,40,20,40,20,20,10,20,30,30,30,10,20,20,10,10,10,20,20,20,30,20,30,20,30,20,20,20,10,30,30,40,40,40,40,50
partner lifecycle,USD,40,33%,100%,Low,0,,,,,,,,30,50,40,30,40,50,40,40,90,50,70,50,90,70,40,70,50,50,30,30,40,50,70,50,50,50,40,50,40,40,40,10,30,30,50,20,20,20,20,20,20,30,30,30,40,30,70,40
marketing attribution meaning,USD,20,-25%,50%,Low,9,2.03,10.63,,,,,,10,10,10,10,20,20,10,10,10,10,20,10,10,20,20,20,20,10,20,20,20,30,20,30,30,20,30,30,30,40,30,20,40,20,20,20,30,20,20,20,30,30,40,30,50,40,30,30
ads roas,USD,40,-44%,-29%,Low,14,4.00,15.36,,,,,,40,30,30,20,30,40,40,30,30,50,40,30,50,30,30,30,40,30,40,40,50,50,40,40,40,40,30,50,50,50,40,30,30,40,50,70,50,50,40,50,40,50,40,50,70,90,70,50
ads txt for apps,USD,40,0%,100%,Low,0,,,,,,,,30,30,40,30,20,20,20,20,30,30,40,50,40,40,30,40,40,70,70,50,70,70,90,110,50,70,50,90,70,110,140,10,10,10,10,10,10,10,10,10,0,10,10,10,20,20,20,20
advanced attribution,USD,10,0%,-50%,Low,25,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
affiliate channels,USD,110,50%,133%,Low,6,3.11,13.29,3%,,,Y,,90,90,70,90,90,90,140,90,140,110,90,90,90,70,70,110,70,90,70,90,90,140,140,70,110,140,70,70,140,110,90,90,140,90,110,90,110,140,140,90,140,110,140,170,170,140,210,210
affiliate marketing affiliate marketing,USD,135000,22%,-33%,Medium,50,1.37,6.48,3%,,,,,135000,135000,135000,110000,90500,110000,110000,110000,165000,110000,110000,110000,135000,135000,165000,165000,135000,135000,135000,201000,246000,135000,165000,246000,201000,201000,246000,201000,201000,165000,135000,135000,201000,135000,110000,110000,90500,90500,90500,90500,74000,74000,60500,60500,90500,60500,74000,74000
affiliate plan,USD,10,0%,0%,Low,11,,,,,,Y,,20,10,20,40,30,30,30,20,30,10,10,20,10,10,10,10,10,30,10,10,10,10,20,10,10,10,10,10,10,10,20,10,10,30,10,10,10,10,20,10,10,20,10,10,10,10,10,10
affiliate program network,USD,50,0%,40%,Low,7,2.38,9.23,3%,,,Y,,50,70,70,70,90,90,50,50,70,50,40,30,40,40,40,90,40,40,50,50,50,50,40,50,40,20,30,20,20,30,50,70,50,50,70,50,50,50,40,50,50,50,40,70,90,70,90,70
affiliatepartner,USD,10,0%,-100%,Unknown,,,,,,,,,0,0,10,0,0,0,0,10,0,0,0,0,10,10,0,0,10,0,0,10,0,0,10,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,10,0,0,0
affiliates of amazon,USD,40500,0%,-18%,Low,5,1.19,4.96,,,,,,40500,40500,40500,40500,33100,33100,40500,33100,49500,40500,40500,40500,33100,40500,40500,40500,33100,40500,40500,40500,60500,40500,49500,49500,60500,74000,74000,74000,60500,60500,60500,49500,74000,49500,49500,40500,40500,40500,40500,33100,27100,27100,33100,33100,40500,33100,33100,33100
affirm rewards,USD,70,100%,-71%,Low,0,,,,,,,,10,20,20,20,40,40,40,70,50,50,50,40,50,40,50,110,90,110,70,50,50,30,70,50,50,70,50,170,110,90,70,30,110,260,170,70,50,70,70,40,70,50,30,20,20,10,20,20
algorithmic attribution,USD,10,-50%,-50%,Low,14,,,,,,Y,,30,20,10,20,20,20,10,20,20,10,20,10,10,20,20,20,20,10,10,10,10,10,10,10,20,20,10,10,10,20,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,20,10,10
amazon affiliate link commission,USD,20,0%,0%,Low,0,,,,,,,,20,10,10,10,10,10,20,10,10,20,10,10,10,10,30,20,10,10,10,10,20,20,10,20,30,10,20,20,30,30,20,30,20,30,30,20,20,20,20,10,20,10,20,10,20,20,10,20
amazon commission program,USD,50,0%,425%,Low,13,1.48,7.99,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,20,10,20,20,10,10,10,10,30,20,40,30,50,140,70,90,30,30,40,30,50,40,50,70,70,110,210,260,210,260,210
apple itp,USD,110,40%,0%,Low,0,,,,,,,,170,260,140,170,170,140,140,110,140,170,140,140,140,170,90,110,110,140,110,90,110,140,170,140,110,110,110,110,110,110,70,50,110,110,90,70,70,70,70,40,40,70,50,50,50,50,50,70
attribution logic,USD,20,-50%,0%,Low,0,,,,,,,,10,20,10,30,20,20,10,10,10,20,20,20,20,20,20,20,30,20,20,10,30,30,20,10,20,10,10,20,40,10,10,10,10,30,10,10,10,10,20,10,20,20,10,10,20,20,10,10
attribution marketing meaning,USD,10,0%,0%,Low,13,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
attribution meaning in marketing,USD,10,50%,50%,Low,16,2.02,5.26,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,20,10,20,20,10,10,10,20,20,30,20,20,10,20,20,20,20,20,10,20,20,10,30
attribution model meaning,USD,20,50%,50%,Low,1,,,,,,,,40,10,20,10,10,10,10,10,20,20,30,20,10,20,20,10,10,10,20,20,20,10,20,20,20,10,10,10,10,20,20,20,20,20,30,20,20,20,20,30,30,30,30,20,30,20,40,30
bar and pie chart,USD,260,0%,50%,Low,0,,,,,,,,210,210,210,210,320,260,210,170,210,210,260,210,210,170,210,260,320,210,210,170,210,260,210,210,260,210,210,260,260,320,260,140,320,260,260,260,210,210,260,480,590,480,480,390,390,390,320,390
bar chart and pie chart,USD,140,-18%,56%,Low,0,,,,,,,,110,90,90,140,210,140,110,70,90,110,110,110,90,70,70,140,170,110,90,90,170,140,90,70,90,70,70,140,210,110,110,70,110,140,90,90,90,70,70,260,320,320,210,140,210,170,170,140
bar chart pie chart,USD,260,0%,50%,Low,0,,,,,,,,210,210,210,210,320,260,210,170,210,210,260,210,210,170,210,260,320,210,210,170,210,260,210,210,260,210,210,260,260,320,260,140,320,260,260,260,210,210,260,480,590,480,480,390,390,390,320,390
bar graph to pie chart,USD,140,-18%,56%,Low,0,,,,,,,,110,90,90,140,210,140,110,70,90,110,110,110,90,70,70,140,170,110,90,90,170,140,90,70,90,70,70,140,210,110,110,70,110,140,90,90,90,70,70,260,320,320,210,140,210,170,170,140
