Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2021,Searches: Jun 2021,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Searches: Sep 2022,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
bar pie chart,USD,260,0%,50%,Low,0,,,,,,,,210,210,210,210,320,260,210,170,210,210,260,210,210,170,210,260,320,210,210,170,210,260,210,210,260,210,210,260,260,320,260,140,320,260,260,260,210,210,260,480,590,480,480,390,390,390,320,390
benefits of multi touch attribution,USD,10,33%,300%,Low,8,6.53,13.00,,,,,,10,10,10,10,10,10,10,20,20,20,40,30,30,20,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,30,20,40
benefits of referral marketing,USD,20,40%,600%,Low,0,,,,,,,,10,10,20,10,10,20,10,20,30,20,10,20,20,10,10,20,10,20,30,10,10,20,20,30,20,10,10,10,20,10,10,10,10,10,10,10,10,10,20,20,10,20,10,10,20,50,50,70
benefits of referrals,USD,50,29%,29%,Low,0,,,,,,,,40,40,40,30,30,50,30,30,50,40,70,40,30,40,40,50,40,70,40,20,70,50,70,70,40,70,40,50,40,40,40,40,40,40,40,70,50,40,30,40,30,40,50,50,90,70,90,90
best attribution,USD,10,0%,-50%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,10,10,10,10,10,20,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10
best attribution model,USD,10,100%,100%,Low,0,,,,,,,,20,10,10,10,10,10,10,10,20,30,20,30,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,20,10,20,20
best pie chart,USD,70,75%,40%,Low,0,,,,,,,,70,50,70,50,90,90,90,50,70,90,90,70,50,70,50,70,70,50,70,40,50,50,110,70,70,30,50,50,40,40,70,40,70,70,70,50,40,30,40,50,40,50,50,40,50,40,90,70
best referral marketing programs,USD,590,23%,-18%,Medium,34,2.43,15.00,35%,,,,,590,590,590,590,590,480,590,590,480,590,590,720,720,720,720,720,590,590,590,480,720,590,590,720,590,590,590,590,720,590,720,720,720,720,590,720,720,590,480,480,390,390,390,480,590,480,590,590
best referral marketing tools,USD,20,33%,100%,Low,0,,,,,,Y,,20,30,30,20,20,20,20,20,20,20,10,30,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,20,20,30,10,20,10,10,20,20,10,10,20,20,20,10,20,30,30,30,40
blue ocean brands,USD,90,-22%,0%,Low,0,,,,,,,,30,30,30,30,50,30,30,20,30,40,40,30,30,30,30,40,30,50,30,40,30,30,50,30,40,40,30,50,20,70,50,70,110,90,110,70,110,480,480,260,260,170,70,90,110,90,90,70
business pie chart,USD,50,40%,0%,Low,1,,,,,,,,50,40,50,40,90,90,70,50,90,50,70,50,70,40,40,40,70,70,70,50,50,70,90,70,50,40,70,70,70,50,70,50,50,50,40,70,40,40,40,50,50,50,90,50,70,50,70,70
click injection fraud,USD,10,-100%,-100%,Unknown,,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
cross channel marketing attribution,USD,110,88%,129%,Low,5,14.14,35.40,,,,Y,,110,90,90,140,110,110,70,70,110,110,110,140,110,110,90,140,90,90,70,90,110,110,140,110,110,70,40,70,140,170,210,90,90,110,110,140,110,90,90,110,110,170,140,170,170,170,320,320
customer referral ideas,USD,20,-50%,100%,Low,6,,,5%,,,,,20,20,20,20,30,20,10,40,50,30,50,40,20,20,30,30,20,40,10,20,20,10,30,20,20,10,20,20,10,30,10,10,20,20,10,10,10,10,20,10,10,10,10,10,10,40,50,20
customer referral rate,USD,10,0%,0%,Low,0,,,,,,,,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
data to pie chart,USD,10,0%,0%,Low,0,,,,,,,,0,0,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
david yovanno,USD,40,67%,0%,Low,0,,,,,,,,50,40,70,40,30,50,40,40,40,70,70,40,40,50,50,50,40,30,30,30,40,70,50,30,40,30,30,40,40,30,20,40,30,50,50,50,40,40,30,40,20,40,20,40,40,30,30,50
decay attribution model,USD,10,0%,0%,Low,6,,,,,,,,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10
deep linking affiliate marketing,USD,10,0%,0%,Medium,50,,,20%,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,10,10,20,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10
deeplink review,USD,30,0%,âˆž,Low,0,,,,,,,,110,140,140,170,90,110,70,90,70,40,30,70,50,20,30,30,40,20,10,20,20,20,20,10,10,10,10,10,10,10,0,0,0,10,0,0,0,10,10,10,10,10,0,10,10,10,10,10
deferred deeplinks,USD,10,-100%,0%,Unknown,,,,,,,,,10,10,10,0,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,0
define marketing attribution,USD,170,0%,-18%,Low,4,2.67,27.08,,,,,,140,140,110,170,170,170,110,140,170,210,210,210,210,140,170,320,260,210,210,260,210,210,210,170,210,110,110,170,110,140,140,110,170,170,140,170,210,140,210,140,170,260,320,170,210,140,170,140
define referral marketing,USD,70,100%,100%,Low,0,,,,,,,,90,50,70,50,70,90,70,90,70,90,90,90,70,50,50,50,50,70,90,70,70,70,110,110,110,70,70,50,90,90,70,90,70,90,70,70,70,30,50,40,40,30,40,40,50,70,110,140
define referral program,USD,40,67%,25%,Low,0,,,,,,,,70,90,90,90,50,50,50,40,40,30,50,40,40,30,40,30,40,40,30,20,40,50,40,30,20,10,20,20,20,20,30,20,20,30,30,40,20,20,40,40,40,40,30,20,40,30,40,50
digital advertising roi,USD,30,75%,133%,Low,1,,,,,,,,10,10,20,20,10,20,10,20,30,50,50,40,50,40,30,40,40,40,30,20,20,20,20,30,20,20,10,20,20,20,20,20,40,30,20,30,20,20,30,40,40,40,30,30,70,40,110,70
direct referral marketing,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0
first interaction attribution model,USD,10,0%,-50%,Low,0,,,,,,,,10,10,10,10,10,20,10,20,10,30,20,20,20,20,20,30,30,20,30,10,10,20,10,10,10,10,10,10,10,10,10,10,0,10,0,20,10,10,10,0,10,10,10,10,10,10,10,10
get free referral,USD,10,0%,âˆž,Low,14,,,,,,,,0,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,10,10,10,10,10,0,10,0,10,10,10,10,10,0,0,0,0,10,10,10
hidden landing page,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
idfa app,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
idfa marketing,USD,10,-50%,0%,Low,0,,,,,,,,20,10,10,20,10,10,20,30,20,20,30,10,10,10,10,20,20,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,20,20,20,10
idfa mobile,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10
idfa tracking,USD,50,600%,100%,Low,0,,,,,,,,260,70,70,70,70,50,50,70,70,90,70,70,70,50,30,70,50,70,70,40,40,30,40,90,30,30,40,30,30,30,30,20,30,30,10,70,30,30,30,30,30,20,20,30,50,20,40,140
impact prm,USD,10,0%,0%,Low,25,,,,,,,,20,10,20,10,10,10,10,10,10,30,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
impact radius payment methods,USD,10,0%,âˆž,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,0,0,0,10,10,0,0,10,110,10,10,10
impactradius login,USD,720,-19%,-46%,Low,0,,,,,,,,390,480,480,880,880,1000,590,480,480,590,590,480,590,720,720,1000,1000,880,880,720,880,880,1000,720,880,880,720,720,590,720,590,480,720,1000,1000,720,720,590,480,720,590,590,720,1300,3600,480,480,390
itp 2.2 compliant,USD,10,0%,-50%,Low,1,,,,,,,,20,10,20,20,10,10,10,10,10,20,20,20,30,20,20,30,20,20,20,10,10,20,20,10,10,10,10,10,10,10,10,10,10,20,10,20,20,10,10,10,10,10,10,10,10,10,10,10
itp advertising,USD,10,0%,0%,Low,0,,,,,,,,20,20,10,10,10,10,10,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
last attribution model,USD,10,0%,0%,Low,19,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
lifecycle of partner management,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,0,0,0,0,10,10,10,10,10,0,10,0,0,10,10,10,0
linear attribution model example,USD,10,0%,0%,Low,9,,,,,,,,10,10,0,0,10,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,20,10,10,10,10,10,20,20,30,10,20,20,20
make commission amazon,USD,40,200%,-40%,Low,0,,,,,,,,10,10,20,10,20,30,40,40,50,20,20,90,110,110,70,70,40,40,40,20,40,10,20,20,40,30,30,30,20,20,90,40,50,30,40,50,20,30,30,30,20,20,20,20,10,10,20,30
make influencer,USD,50,89%,1600%,Low,24,1.61,5.00,,,,,,40,40,20,20,40,40,30,20,50,30,20,30,30,20,20,20,40,50,40,20,50,40,30,30,20,20,30,30,50,40,30,30,30,10,30,10,30,30,20,30,20,40,30,70,720,90,110,170
marketing discounts,USD,90,0%,56%,Low,6,6.29,10.96,,,,,,70,90,70,90,110,70,110,70,90,110,110,140,110,70,70,70,90,140,90,70,110,140,110,90,90,90,50,70,90,90,70,70,90,110,110,90,110,90,90,110,110,110,70,70,90,140,140,140
mta marketing meaning,USD,30,-20%,-43%,Low,2,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,20,20,20,40,30,30,40,30,20,30,20,30,40,40,40,30,40,30,30,50,30,30,30,30,70,40,40,50,50,40,40,30,20,40,50,20,40
mta meaning marketing,USD,10,-50%,-67%,Low,0,,,,,,,,20,10,10,10,10,10,10,10,20,10,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,30,30,30,20,20,10,30,30,20,10,20,20,10,10
multi touchpoint,USD,20,0%,-33%,Low,19,10.55,22.45,,,,,,20,20,30,30,30,30,30,30,40,30,20,30,30,30,20,30,30,20,30,20,20,20,30,20,20,10,20,20,20,20,20,20,20,20,10,30,20,20,30,20,20,20,20,20,20,20,10,20
partner performance metrics,USD,20,100%,300%,Low,0,,,,,,,,10,20,20,20,20,20,10,30,30,20,20,30,20,30,20,30,20,20,10,20,20,20,10,10,20,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,20,10,20,10,20,30,40
partnership affiliate marketing,USD,10,0%,0%,High,86,,,,,,Y,,10,0,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,10,10,10,10,10,10,10
pie chart and graph,USD,320,0%,0%,Low,1,1.11,6.99,,,,,,390,260,260,390,480,390,320,320,390,390,390,390,320,210,210,260,390,390,320,260,390,320,390,390,320,260,210,320,390,390,320,320,320,390,390,390,320,260,260,320,480,390,320,320,320,390,390,390
pie chart in a pie chart,USD,33100,49%,49%,Low,0,1.41,9.17,,,,,,33100,27100,22200,33100,49500,40500,33100,27100,33100,40500,40500,33100,33100,27100,22200,33100,40500,40500,33100,27100,33100,33100,40500,40500,33100,22200,22200,33100,40500,40500,33100,27100,33100,40500,40500,40500,33100,22200,22200,33100,49500,40500,33100,33100,33100,40500,49500,60500
pie chart in data visualization,USD,10,0%,0%,Low,6,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10
pie chart of a pie chart,USD,33100,49%,49%,Low,0,1.41,9.17,,,,,,33100,27100,22200,33100,49500,40500,33100,27100,33100,40500,40500,33100,33100,27100,22200,33100,40500,40500,33100,27100,33100,33100,40500,40500,33100,22200,22200,33100,40500,40500,33100,27100,33100,40500,40500,40500,33100,22200,22200,33100,49500,40500,33100,33100,33100,40500,49500,60500
pie chart over time,USD,20,0%,0%,Low,0,,,,,,,,40,50,30,20,30,30,30,30,20,50,30,20,30,30,30,20,30,20,20,20,20,20,30,30,20,30,10,10,10,20,30,10,20,20,20,20,30,20,10,10,10,30,20,20,20,20,30,20
pie chart program,USD,50,-33%,0%,Low,22,2.46,18.37,,,,,,30,30,20,20,20,20,20,20,20,30,40,30,20,20,20,10,20,10,10,10,30,20,30,30,20,20,30,20,20,20,40,20,20,40,30,20,40,10,10,20,20,30,880,720,30,30,40,20
pie chart when to use,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10
pie chart with bar graph,USD,10,âˆž,0%,Low,0,,,,,,,,10,10,10,10,10,20,10,10,10,10,10,10,20,10,10,10,20,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10
pie graph and bar graph,USD,10,0%,0%,Low,0,,,,,,,,10,0,0,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,10,10,0,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,0,10,10,10,10
pie graph chart,USD,33100,49%,49%,Low,0,1.41,9.17,,,,,,33100,27100,22200,33100,49500,40500,33100,27100,33100,40500,40500,33100,33100,27100,22200,33100,40500,40500,33100,27100,33100,33100,40500,40500,33100,22200,22200,33100,40500,40500,33100,27100,33100,40500,40500,40500,33100,22200,22200,33100,49500,40500,33100,33100,33100,40500,49500,60500
pie of pie charts,USD,260,24%,53%,Low,0,,,,,,,,260,260,210,210,260,260,210,170,260,260,260,260,210,260,260,320,320,320,320,210,260,320,390,390,390,260,210,260,260,260,260,170,260,170,210,170,170,170,140,170,170,170,140,140,170,210,260,260
pixel affiliate marketing,USD,10,0%,0%,Medium,57,,,,,,,,10,10,10,0,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10
referral code examples,USD,260,0%,-19%,Low,1,,,< 1%,,,,,260,260,260,210,260,260,320,260,320,320,320,390,260,320,390,390,320,320,390,320,390,260,320,260,260,210,210,210,210,210,260,210,260,320,260,260,320,260,320,260,260,210,260,210,210,210,170,210
referral code marketing,USD,10,-75%,0%,Low,8,,,20%,,,,,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,0,10,10,0,0,0,10,10,40,40,10
referral customers,USD,260,22%,22%,Low,8,8.61,27.30,19%,,,,,260,260,260,260,260,320,260,260,320,320,320,320,260,260,260,320,320,320,260,260,320,260,390,320,260,210,170,210,260,260,210,170,260,260,260,320,320,210,210,260,320,320,260,260,320,320,480,390
referral link example,USD,20,-50%,100%,Low,8,,,10%,,,,,10,10,10,10,20,20,10,10,20,10,20,20,10,10,10,20,10,10,20,20,20,30,20,20,10,20,10,20,10,20,10,10,20,20,10,10,10,10,10,10,30,10,10,10,10,40,40,20
referral marketing benefits,USD,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,0,0,10,10,0,0,0,10,20,0,10,10,0,10,10,10,10,0,10,0,10,0,10,0,10,10,0
referral marketing definition,USD,70,100%,100%,Low,0,,,,,,,,90,50,70,50,70,90,70,90,70,90,90,90,70,50,50,50,50,70,90,70,70,70,110,110,110,70,70,50,90,90,70,90,70,90,70,70,70,30,50,40,40,30,40,40,50,70,110,140
referral marketing stats,USD,70,29%,29%,Low,6,6.47,15.36,9%,,,,,50,50,40,50,50,50,50,50,50,50,50,40,50,40,40,70,70,110,110,40,50,50,70,90,70,50,20,50,70,90,110,30,50,40,40,70,70,70,40,40,50,90,110,40,50,70,90,90
referral marketing tips,USD,30,56%,1300%,Low,0,,,,,,,,20,10,10,10,20,20,20,20,20,20,20,20,30,20,10,20,30,30,20,20,20,10,20,30,20,10,10,10,10,20,10,20,10,10,10,10,20,20,30,20,20,30,40,50,70,90,110,140
referral module,USD,10,0%,0%,Low,7,,,10%,,,,,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
referral offer examples,USD,10,0%,0%,Low,16,,,30%,,,,,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10
referral program definition,USD,40,67%,25%,Low,0,,,,,,,,70,90,90,90,50,50,50,40,40,30,50,40,40,30,40,30,40,40,30,20,40,50,40,30,20,10,20,20,20,20,30,20,20,30,30,40,20,20,40,40,40,40,30,20,40,30,40,50
referral program marketing strategy,USD,140,23%,88%,Low,3,2.79,14.38,6%,,,,,90,90,90,70,90,70,90,90,90,110,140,140,110,110,140,140,110,170,110,110,90,90,110,140,110,90,70,110,140,170,210,140,210,140,170,170,210,140,140,140,140,140,170,170,260,260,390,320
referral program mechanics,USD,10,0%,âˆž,Low,0,,,,,,,,0,0,10,10,10,10,0,10,10,10,10,0,0,0,0,10,0,0,10,0,10,10,10,0,10,10,0,10,0,10,0,0,10,10,0,0,10,10,10,10,0,10,0,0,10,30,40,30
referral program statistics,USD,20,-40%,50%,Low,0,,,,,,,,10,30,20,10,20,10,30,10,30,20,30,30,30,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,20,10,10,20,20,20,10,10,10,10,10,30,20,10,20,50,50,30
referral program terms,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,20,10,0,10,10,10,10,20,10,10,20,10,10,10,10,10,10,10,20,10,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10
referral promo,USD,40,0%,75%,Low,9,3.87,9.95,3%,,,,,20,30,40,70,40,50,70,70,40,50,50,20,30,30,20,40,30,50,30,20,50,30,30,30,20,30,30,30,30,40,30,30,30,40,50,40,40,40,30,30,40,30,40,40,70,70,70,70
return on ad spending,USD,1000,60%,23%,Low,2,2.49,14.57,,,,,,880,880,880,880,880,880,880,720,880,1300,1300,1300,1300,1300,880,1000,1000,1000,1300,1300,1300,1300,1300,1300,1300,1000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,1600
roas digital,USD,10,0%,-50%,Low,1,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,20,10,10,10,10
roas in ads,USD,40,0%,40%,Low,7,,,,,,,,10,10,10,10,10,10,20,20,20,40,30,40,40,30,20,20,20,20,30,30,30,30,40,50,40,30,30,30,30,40,50,40,40,50,40,50,50,50,40,50,40,50,40,50,50,70,70,70
roas optimization,USD,20,67%,150%,Low,5,,,,,,,,40,30,20,20,20,20,10,10,10,30,20,20,20,10,20,20,20,70,20,10,20,10,20,20,20,10,10,10,10,10,20,20,20,10,20,20,30,10,30,10,20,40,30,50,30,30,40,50
roas return on ad spend,USD,210,0%,0%,Low,2,1.17,13.51,,,,,,70,70,40,50,70,50,50,70,70,210,260,260,210,260,90,90,170,140,210,210,260,260,260,210,210,210,210,260,210,260,260,210,210,320,260,260,260,170,210,210,210,260,260,210,210,260,260,260
roi on ad spend,USD,10,0%,0%,Low,12,,,,,,,,10,10,10,10,10,10,10,10,10,40,40,70,40,40,40,40,30,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
roi on digital advertising,USD,30,75%,133%,Low,1,,,,,,,,10,10,20,20,10,20,10,20,30,50,50,40,50,40,30,40,40,40,30,20,20,20,20,30,20,20,10,20,20,20,20,20,40,30,20,30,20,20,30,40,40,40,30,30,70,40,110,70
roi performance marketing,USD,10,0%,0%,Low,0,,,,,,,,0,10,0,10,10,10,10,10,0,10,0,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,10,10,0,10,0,10,0,10,10,0,0,0,10,10,0,0,10,10,10,10
savage x fenty marketing strategy,USD,20,33%,300%,Low,0,,,,,,,,20,20,10,20,30,20,20,40,20,40,50,30,40,10,10,10,30,20,30,20,10,20,20,10,10,10,10,10,40,10,20,20,10,20,10,10,10,10,10,10,10,20,30,20,30,30,30,40
successful referral,USD,10,-50%,0%,Low,0,,,,,,,,10,10,20,10,10,10,10,20,10,20,10,10,10,10,10,10,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,20,20,20,40,30,20
swot after you,USD,10,âˆž,âˆž,Low,0,,,,,,,,0,0,0,10,0,0,10,10,0,10,0,10,10,10,0,0,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,10,10
tag management solution,USD,10,-50%,0%,Low,0,,,,,,Y,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,10
tag management vendors,USD,10,100%,300%,Low,0,,,,,,,,0,10,10,20,10,10,10,10,10,10,20,10,10,30,40,30,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,20,40,40
tagging in marketing,USD,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
tagging marketing,USD,260,52%,0%,Low,24,1.93,9.54,,,,,,210,210,210,170,210,210,170,140,210,260,260,260,210,260,210,210,260,260,260,170,260,260,480,260,320,320,260,260,260,260,260,210,320,320,320,320,320,260,260,260,260,260,210,210,260,210,260,320
the attribution model,USD,10,0%,0%,Low,14,,,,,,,,10,10,10,10,10,10,20,20,10,10,10,40,30,10,10,10,10,10,20,30,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10
touch attribution,USD,20,-33%,100%,Low,11,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,20,10,30,30,40,20,20,20,10,10,10,30,10,10,10,20,20,30,70,70,20,20,20,20,10,20,10,10,10,10,20,20,30,20,30,10,20
use a pie chart,USD,30,400%,-29%,Low,0,,,,,,,,10,10,10,10,10,30,70,10,10,20,30,70,20,10,20,10,20,50,70,10,20,30,50,90,30,20,30,10,30,90,110,30,20,20,90,70,20,10,30,10,10,40,50,10,10,10,30,50
voucher marketing,USD,10,0%,0%,Low,20,,,,,,,,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,20,30,20,20,30,10,20,10,20,10,10,10,10,10,10,10,10,10,10,40,10,10,10,10,10,10,10,10,10
xoom energy referral program,USD,10,0%,0%,Low,10,,,,,,,,10,10,10,20,20,30,10,10,20,10,20,30,10,20,10,20,10,10,10,20,20,10,10,10,10,10,10,20,10,20,20,20,50,20,10,10,10,10,10,10,20,10,20,10,10,10,10,10